date_time,number_of_rentals
2021-04-01,95006.06
2021-04-02,93296.03
2021-04-03,67415.76
2021-04-04,40185.27
2021-04-05,93193.78
2021-04-06,93146.69
2021-04-07,87025.08
2021-04-08,84272.15
2021-04-09,93041.06
2021-04-10,91103.19
2021-04-11,93526.12
2021-04-12,67727.89
2021-04-13,40729.95
2021-04-14,83376.09
2021-04-15,86940.34
2021-04-16,40895.79
2021-04-17,71466.65
2021-04-18,93966.16
2021-04-19,97256.234
2021-04-20,102343.58
2021-04-21,100975.45
2021-04-22,99663.66
2021-04-23,96956.97
2021-04-24,93601.48
2021-04-25,93891.08
2021-04-26,91198.8
2021-04-27,91233.93
2021-04-28,88108.94
2021-04-29,89994.65
2021-04-30,76227.375
2021-05-01,13745.909
2021-05-02,86805.18
2021-05-03,90610.34
2021-05-04,80675.89
2021-05-05,87437.68
2021-05-06,95965.09
2021-05-07,55705.336
2021-05-08,94399.83
2021-05-09,95179.23
2021-05-10,82600.3
2021-05-11,97024.39
2021-05-12,97642.76
2021-05-13,96212.586
2021-05-14,95270.2
2021-05-15,87599.945
2021-05-16,82932.39
2021-05-17,85934.72
2021-05-18,95876.04
2021-05-19,96141.42
2021-05-20,88222.0
2021-05-21,89286.195
2021-05-22,97087.27
2021-05-23,95464.99
2021-05-24,92797.79
2021-05-25,86748.336
2021-05-26,95403.18
2021-05-27,87502.69
2021-05-28,90042.56
2021-05-29,98819.11
2021-05-30,92402.44
2021-05-31,87420.125
2021-06-01,95042.37
2021-06-02,97308.2
2021-06-03,86688.81
2021-06-04,86749.15
2021-06-05,99035.0
2021-06-06,98156.29
2021-06-07,99746.72
2021-06-08,89448.67
2021-06-09,95509.87
2021-06-10,92208.055
2021-06-11,80740.52
2021-06-12,90780.195
2021-06-13,94405.984
2021-06-14,95063.3
2021-06-15,99705.85
2021-06-16,99659.805
2021-06-17,94645.81
2021-06-18,93369.484
2021-06-19,99089.52
2021-06-20,100833.53
2021-06-21,95862.664
2021-06-22,81182.9
2021-06-23,23079.879
2021-06-24,89167.84
2021-06-25,96430.19
2021-06-26,87190.82
2021-06-27,90908.04
2021-06-28,42226.473
2021-06-29,76974.58
2021-06-30,78643.42
