date_time,number_of_rentals
2021-04-01,77613.61586875917
2021-04-02,72327.09172041128
2021-04-03,33967.565186202686
2021-04-04,38942.2218489011
2021-04-05,75993.94696320973
2021-04-06,76197.25610745097
2021-04-07,75097.97724943186
2021-04-08,75276.22503829798
2021-04-09,76008.15073701926
2021-04-10,77669.49059777729
2021-04-11,75798.95048582878
2021-04-12,31805.79929334555
2021-04-13,49328.560333363734
2021-04-14,73133.38238419015
2021-04-15,74427.8255327224
2021-04-16,57284.08244658891
2021-04-17,66828.94564519016
2021-04-18,75635.11239068132
2021-04-19,80175.82792503323
2021-04-20,82009.93862566311
2021-04-21,83590.23466654461
2021-04-22,80219.12187981163
2021-04-23,76030.96875412381
2021-04-24,75218.12466695238
2021-04-25,79981.5446244956
2021-04-26,78172.03914149097
2021-04-27,71425.71608421112
2021-04-28,77506.7872899895
2021-04-29,75256.85177267464
2021-04-30,46058.43747387531
2021-05-01,35081.28204334554
2021-05-02,76352.5754311948
2021-05-03,79925.35037673314
2021-05-04,43974.20609920635
2021-05-05,77478.72714241581
2021-05-06,79690.49137218301
2021-05-07,77846.86165243764
2021-05-08,79631.00855880455
2021-05-09,81804.89141682239
2021-05-10,70883.35293229895
2021-05-11,95867.73246237026
2021-05-12,95962.17944702096
2021-05-13,97438.56274466589
2021-05-14,91037.97958766561
2021-05-15,78581.0151345777
2021-05-16,36743.962827405056
2021-05-17,75821.97114946872
2021-05-18,91146.00006513705
2021-05-19,88119.4222158411
2021-05-20,77446.56571543297
2021-05-21,54370.33316472052
2021-05-22,92587.58621859449
2021-05-23,89691.98514926767
2021-05-24,86098.09158407757
2021-05-25,76688.7668679076
2021-05-26,83780.69541417834
2021-05-27,70666.97031932036
2021-05-28,64475.28133512448
2021-05-29,87741.92444790713
2021-05-30,93564.17585877934
2021-05-31,70987.36317089082
2021-06-01,92775.01523397613
2021-06-02,95300.71488710772
2021-06-03,64826.276756301326
2021-06-04,96181.86419475841
2021-06-05,98996.3538411972
2021-06-06,98720.46584618895
2021-06-07,100006.9111881646
2021-06-08,97961.70519030526
2021-06-09,103322.06116483785
2021-06-10,101150.0227845787
2021-06-11,59493.73333585858
2021-06-12,100044.3407202478
2021-06-13,99420.39788634429
2021-06-14,100086.74514688193
2021-06-15,95014.2794648347
2021-06-16,93155.31916129503
2021-06-17,91200.12609134593
2021-06-18,79074.64490994903
2021-06-19,104087.00366844534
2021-06-20,100879.69424715513
2021-06-21,101713.42680884089
2021-06-22,100583.06425195493
2021-06-23,83160.75532011274
2021-06-24,98699.2890281211
2021-06-25,100577.60591478185
2021-06-26,95662.48234482728
2021-06-27,99673.38247954227
2021-06-28,96862.46184706945
2021-06-29,97417.98076935206
2021-06-30,95679.02369403365
