date_time,number_of_rentals
2021-04-01,79093.086
2021-04-02,80699.3
2021-04-03,36705.21
2021-04-04,44932.668
2021-04-05,80287.74
2021-04-06,80526.16
2021-04-07,71467.83
2021-04-08,74143.53
2021-04-09,78550.09
2021-04-10,78579.445
2021-04-11,77449.3
2021-04-12,42326.773
2021-04-13,52847.992
2021-04-14,71875.35
2021-04-15,70092.03
2021-04-16,42441.81
2021-04-17,41457.734
2021-04-18,76016.31
2021-04-19,86273.26
2021-04-20,89780.92
2021-04-21,87796.51
2021-04-22,88568.41
2021-04-23,84929.04
2021-04-24,88764.016
2021-04-25,85432.68
2021-04-26,82344.125
2021-04-27,79186.23
2021-04-28,65969.85
2021-04-29,81898.44
2021-04-30,61017.312
2021-05-01,30140.959
2021-05-02,65174.188
2021-05-03,82652.914
2021-05-04,43324.883
2021-05-05,67201.7
2021-05-06,81447.89
2021-05-07,60301.48
2021-05-08,81776.336
2021-05-09,77455.73
2021-05-10,71862.25
2021-05-11,99244.94
2021-05-12,99071.56
2021-05-13,97085.13
2021-05-14,91828.63
2021-05-15,69922.9
2021-05-16,32394.332
2021-05-17,75718.71
2021-05-18,92361.29
2021-05-19,91698.3
2021-05-20,87101.93
2021-05-21,62948.492
2021-05-22,97441.96
2021-05-23,95890.77
2021-05-24,95413.25
2021-05-25,74501.21
2021-05-26,83678.04
2021-05-27,69594.234
2021-05-28,72930.65
2021-05-29,91360.336
2021-05-30,85266.625
2021-05-31,61016.574
2021-06-01,97500.38
2021-06-02,98284.5
2021-06-03,61737.22
2021-06-04,93285.46
2021-06-05,99265.16
2021-06-06,101421.22
2021-06-07,101762.75
2021-06-08,100535.72
2021-06-09,101342.234
2021-06-10,94148.71
2021-06-11,61627.027
2021-06-12,107067.39
2021-06-13,103939.016
2021-06-14,106050.19
2021-06-15,94976.09
2021-06-16,98005.72
2021-06-17,93897.664
2021-06-18,68496.17
2021-06-19,105486.445
2021-06-20,101456.84
2021-06-21,105046.85
2021-06-22,41023.582
2021-06-23,60352.727
2021-06-24,80431.64
2021-06-25,103923.6
2021-06-26,95209.42
2021-06-27,91806.0
2021-06-28,61253.496
2021-06-29,68052.0
2021-06-30,57013.047
