date_time,number_of_rentals
2021-04-01,81724.82507684958
2021-04-02,68540.38900305032
2021-04-03,38447.28251298702
2021-04-04,41201.502772817454
2021-04-05,77881.8688975183
2021-04-06,76717.79522619146
2021-04-07,74039.56091889292
2021-04-08,75335.36204003914
2021-04-09,77981.78454057004
2021-04-10,81033.51573366775
2021-04-11,79474.0913473635
2021-04-12,29794.707202380952
2021-04-13,50337.453050783675
2021-04-14,72952.67945013873
2021-04-15,73091.82037041378
2021-04-16,51090.52826028945
2021-04-17,67408.52615841948
2021-04-18,78814.62912729614
2021-04-19,85669.00660982437
2021-04-20,91072.07755694614
2021-04-21,92961.40387685999
2021-04-22,85999.80692762062
2021-04-23,77516.56940810208
2021-04-24,79213.06496637738
2021-04-25,85597.86871700214
2021-04-26,82044.65692508119
2021-04-27,66484.27743612736
2021-04-28,81080.58833074036
2021-04-29,76510.81688227999
2021-04-30,43174.81787155442
2021-05-01,33955.032809523815
2021-05-02,79773.48234061508
2021-05-03,81988.88094719622
2021-05-04,39862.441809523814
2021-05-05,80253.9492473369
2021-05-06,83238.51232073587
2021-05-07,80311.62738091535
2021-05-08,81063.74843519441
2021-05-09,80740.52399270287
2021-05-10,71309.96613386605
2021-05-11,100322.72226969207
2021-05-12,100744.98160858029
2021-05-13,102766.98622184318
2021-05-14,91455.67034356894
2021-05-15,79637.98486822439
2021-05-16,35189.6800915751
2021-05-17,74453.73722097233
2021-05-18,91746.69411087017
2021-05-19,93566.30636006329
2021-05-20,84977.73335915915
2021-05-21,52178.24226053953
2021-05-22,94261.68894095265
2021-05-23,91502.19322178379
2021-05-24,86175.50056666846
2021-05-25,81034.18187868907
2021-05-26,85657.95438606071
2021-05-27,68178.35412454321
2021-05-28,70970.03165341803
2021-05-29,91258.65852158691
2021-05-30,92972.659819483
2021-05-31,67518.30383667392
2021-06-01,93911.95583326065
2021-06-02,93102.39306762593
2021-06-03,60361.01751614358
2021-06-04,93641.09758856588
2021-06-05,100184.8160504747
2021-06-06,100663.99346991234
2021-06-07,101743.61285908286
2021-06-08,97792.48698373839
2021-06-09,103655.76314011171
2021-06-10,101222.5046551537
2021-06-11,55291.96742821068
2021-06-12,101216.82926187533
2021-06-13,101580.19724428652
2021-06-14,102643.68653493868
2021-06-15,94688.78127728356
2021-06-16,88182.69082764302
2021-06-17,89196.1015745348
2021-06-18,72363.79651690013
2021-06-19,103567.19156199323
2021-06-20,100916.96148096219
2021-06-21,102329.33946845948
2021-06-22,99324.23257565135
2021-06-23,75236.88062872212
2021-06-24,99124.63494306598
2021-06-25,100737.4217209123
2021-06-26,93061.14500589295
2021-06-27,101268.6308427103
2021-06-28,94324.60690716056
2021-06-29,95293.37149149564
2021-06-30,94696.1652026619
