date_time,number_of_rentals
2021-04-01,78074.34193606391
2021-04-02,81679.05033172219
2021-04-03,40292.81733333333
2021-04-04,34274.82666666667
2021-04-05,78402.23248151847
2021-04-06,77905.88533866132
2021-04-07,73916.85281363082
2021-04-08,74643.3688917749
2021-04-09,78697.59306485181
2021-04-10,80396.81961743649
2021-04-11,79663.73400990675
2021-04-12,36246.80876190476
2021-04-13,39704.271727272724
2021-04-14,73702.37610173161
2021-04-15,71735.1273030303
2021-04-16,37442.78244155844
2021-04-17,35402.60142857143
2021-04-18,78186.95460273059
2021-04-19,85761.96228882065
2021-04-20,92009.24933125045
2021-04-21,95417.29153968256
2021-04-22,91397.21804533864
2021-04-23,87106.32166438625
2021-04-24,87299.6125336314
2021-04-25,85116.55453424189
2021-04-26,80857.93756093743
2021-04-27,81557.91106765292
2021-04-28,59706.92892313078
2021-04-29,79805.30067657342
2021-04-30,43639.73410822511
2021-05-01,31890.20666666667
2021-05-02,54949.12610261796
2021-05-03,80130.97448645634
2021-05-04,48778.26166666666
2021-05-05,52897.20354700855
2021-05-06,80005.44028898716
2021-05-07,55790.48754700855
2021-05-08,80607.27694888444
2021-05-09,77898.65516317016
2021-05-10,75750.55298295985
2021-05-11,99471.38035775337
2021-05-12,100216.07265789768
2021-05-13,104447.49705888558
2021-05-14,94571.43483688535
2021-05-15,75324.35216666668
2021-05-16,37864.56083333333
2021-05-17,78841.51800957051
2021-05-18,96417.05725274725
2021-05-19,94216.28076984128
2021-05-20,83543.8819063959
2021-05-21,59029.41621428571
2021-05-22,93912.02966666667
2021-05-23,92982.83167857144
2021-05-24,88496.75623581486
2021-05-25,68775.61695401494
2021-05-26,83663.7461961323
2021-05-27,55307.69348856208
2021-05-28,72321.52221195145
2021-05-29,91392.61878571431
2021-05-30,89122.00425518927
2021-05-31,73494.27560317461
2021-06-01,101001.54003590853
2021-06-02,96358.18288721805
2021-06-03,60159.20542857142
2021-06-04,91979.01484920636
2021-06-05,102374.5497843823
2021-06-06,100457.60673676325
2021-06-07,102287.1969023696
2021-06-08,99602.80349794653
2021-06-09,103527.62738428239
2021-06-10,96579.66532478634
2021-06-11,45982.55323076923
2021-06-12,99785.1272930403
2021-06-13,99605.42934065932
2021-06-14,102165.79407792208
2021-06-15,96628.63788034189
2021-06-16,94408.17504323454
2021-06-17,96595.54002019617
2021-06-18,59967.53823076923
2021-06-19,103854.62037856007
2021-06-20,100889.76707009658
2021-06-21,101019.67671356423
2021-06-22,48623.04823076922
2021-06-23,48309.00823076922
2021-06-24,64063.40632600732
2021-06-25,100629.25075324677
2021-06-26,91474.49651648352
2021-06-27,96877.81628449328
2021-06-28,50326.448040293035
2021-06-29,57646.9708974359
2021-06-30,41216.244666666666
