date_time,number_of_rentals
2021-04-01,77884.82717058685
2021-04-02,69788.36360227907
2021-04-03,38241.449194416695
2021-04-04,42219.81830190073
2021-04-05,75804.89000938469
2021-04-06,75675.20292984386
2021-04-07,72021.91656453004
2021-04-08,73305.12782690041
2021-04-09,75916.24386430773
2021-04-10,77857.46054908718
2021-04-11,75734.6096629278
2021-04-12,30981.826730630488
2021-04-13,51629.81868410984
2021-04-14,70845.05539004128
2021-04-15,71639.71120138852
2021-04-16,54820.84598298771
2021-04-17,68204.73070595901
2021-04-18,77301.38058870417
2021-04-19,82445.86852534855
2021-04-20,90565.62011170281
2021-04-21,91381.72796199779
2021-04-22,86367.59523453975
2021-04-23,81601.75981865042
2021-04-24,82308.94832849511
2021-04-25,82507.37346605817
2021-04-26,78095.03360870591
2021-04-27,68824.76186588065
2021-04-28,77271.88613214283
2021-04-29,73804.97076594719
2021-04-30,45083.57608912955
2021-05-01,32751.86134360084
2021-05-02,77925.4981803254
2021-05-03,78764.66621119135
2021-05-04,40177.85679420294
2021-05-05,78343.56792122926
2021-05-06,79586.03723235997
2021-05-07,78180.75878044251
2021-05-08,78633.37714947364
2021-05-09,78891.39120120811
2021-05-10,78960.25541106627
2021-05-11,97922.77217914967
2021-05-12,97849.29728066675
2021-05-13,98956.57462877552
2021-05-14,93031.10562999554
2021-05-15,84463.33684205185
2021-05-16,35440.155471024176
2021-05-17,79798.67260600365
2021-05-18,92093.26621189722
2021-05-19,92341.02711286001
2021-05-20,87710.10513631695
2021-05-21,53066.36370237355
2021-05-22,92084.5464105269
2021-05-23,91432.40443222091
2021-05-24,85101.43169464066
2021-05-25,81466.45972622753
2021-05-26,83249.65956424484
2021-05-27,73132.87406375675
2021-05-28,75065.92014590642
2021-05-29,91608.2575142298
2021-05-30,92018.38249252285
2021-05-31,69957.45551797208
2021-06-01,94841.9071702768
2021-06-02,92471.49115611233
2021-06-03,62522.193755274944
2021-06-04,92148.50944739772
2021-06-05,97494.25945872262
2021-06-06,98788.6266203915
2021-06-07,99182.59956904834
2021-06-08,97921.62515568381
2021-06-09,100188.28545279155
2021-06-10,99066.96639160533
2021-06-11,56950.90614194394
2021-06-12,99483.41449061994
2021-06-13,99797.08946595142
2021-06-14,100057.47720279153
2021-06-15,96219.55134205494
2021-06-16,92309.94744446968
2021-06-17,92283.22736974082
2021-06-18,73915.31627615872
2021-06-19,99792.50335783482
2021-06-20,98714.19120008704
2021-06-21,99367.97482115554
2021-06-22,97670.71422771997
2021-06-23,75663.04707144917
2021-06-24,97825.32296177694
2021-06-25,99068.47768146513
2021-06-26,94892.13256466574
2021-06-27,99571.41792768287
2021-06-28,95145.20771618088
2021-06-29,97148.96667787632
2021-06-30,96867.98917787633
