date_time,number_of_rentals
2021-04-01,74666.516
2021-04-02,67382.984
2021-04-03,44688.816
2021-04-04,51894.6
2021-04-05,81976.65
2021-04-06,79620.31
2021-04-07,75750.76
2021-04-08,71575.0
2021-04-09,80375.375
2021-04-10,81854.51
2021-04-11,78356.336
2021-04-12,50613.164
2021-04-13,59369.59
2021-04-14,67600.516
2021-04-15,75980.05
2021-04-16,58067.246
2021-04-17,64793.168
2021-04-18,74394.24
2021-04-19,85504.055
2021-04-20,90874.48
2021-04-21,88933.14
2021-04-22,81513.43
2021-04-23,74418.67
2021-04-24,77185.79
2021-04-25,83774.945
2021-04-26,82876.15
2021-04-27,73515.1
2021-04-28,72897.87
2021-04-29,78291.55
2021-04-30,61762.918
2021-05-01,50396.055
2021-05-02,82665.57
2021-05-03,85898.36
2021-05-04,56420.777
2021-05-05,77237.734
2021-05-06,79766.24
2021-05-07,74862.375
2021-05-08,78704.984
2021-05-09,78315.95
2021-05-10,76784.1
2021-05-11,97701.68
2021-05-12,90639.01
2021-05-13,96296.92
2021-05-14,92029.73
2021-05-15,79909.94
2021-05-16,55809.54
2021-05-17,78940.3
2021-05-18,90451.67
2021-05-19,91955.35
2021-05-20,74698.45
2021-05-21,64530.066
2021-05-22,92983.49
2021-05-23,90774.83
2021-05-24,87492.234
2021-05-25,72704.25
2021-05-26,81012.62
2021-05-27,69954.2
2021-05-28,74014.64
2021-05-29,85068.164
2021-05-30,90774.83
2021-05-31,72876.83
2021-06-01,84357.53
2021-06-02,93071.07
2021-06-03,65332.58
2021-06-04,87512.08
2021-06-05,87865.27
2021-06-06,96339.4
2021-06-07,98641.64
2021-06-08,91171.63
2021-06-09,101066.18
2021-06-10,97337.99
2021-06-11,74092.02
2021-06-12,97427.73
2021-06-13,97202.3
2021-06-14,98480.414
2021-06-15,90333.28
2021-06-16,87865.27
2021-06-17,89872.414
2021-06-18,74672.96
2021-06-19,100145.32
2021-06-20,92284.086
2021-06-21,97880.29
2021-06-22,92377.74
2021-06-23,77368.18
2021-06-24,90333.28
2021-06-25,91661.125
2021-06-26,89119.37
2021-06-27,94394.97
2021-06-28,91171.63
2021-06-29,91171.63
2021-06-30,87545.33
