date_time,number_of_rentals
2021-04-01,82759.8057216709
2021-04-02,82541.57283677801
2021-04-03,32511.2888493549
2021-04-04,31391.495276844074
2021-04-05,78429.67135887008
2021-04-06,79630.84128463967
2021-04-07,73137.79376642314
2021-04-08,74397.22066184199
2021-04-09,78473.33208902882
2021-04-10,80555.24609985288
2021-04-11,80456.04750941548
2021-04-12,31333.17749004754
2021-04-13,41953.08284642847
2021-04-14,72892.29071578312
2021-04-15,72238.8880163424
2021-04-16,35252.77771152865
2021-04-17,30666.705622082165
2021-04-18,77980.72763267127
2021-04-19,84611.84277814988
2021-04-20,89249.68535401384
2021-04-21,90910.20553440064
2021-04-22,88419.70303110892
2021-04-23,87537.69865279378
2021-04-24,86150.05900398761
2021-04-25,84880.18757337873
2021-04-26,82899.39766877063
2021-04-27,83160.05489325357
2021-04-28,61471.13898940214
2021-04-29,81708.1673402395
2021-04-30,47990.71435308739
2021-05-01,28741.99647222222
2021-05-02,60862.28404292024
2021-05-03,80937.19443482821
2021-05-04,38717.102125
2021-05-05,59583.08044201039
2021-05-06,81627.35867200547
2021-05-07,60590.95916441022
2021-05-08,79705.02774331319
2021-05-09,80254.70897845754
2021-05-10,69476.82375217105
2021-05-11,97944.09933670568
2021-05-12,98605.15149483652
2021-05-13,99010.85236287933
2021-05-14,92185.05337407607
2021-05-15,72632.13251632074
2021-05-16,31624.63712500001
2021-05-17,79024.88967848815
2021-05-18,92288.28318122082
2021-05-19,92386.66023282283
2021-05-20,79485.8813497757
2021-05-21,52318.64652747399
2021-05-22,92485.89622989444
2021-05-23,91781.65554823294
2021-05-24,87343.05802580387
2021-05-25,65252.23273419525
2021-05-26,83270.6447692049
2021-05-27,62192.63443512785
2021-05-28,73202.69082154088
2021-05-29,92693.51849023193
2021-05-30,87795.88711350849
2021-05-31,76822.9595032979
2021-06-01,99977.17962754692
2021-06-02,97029.09322571494
2021-06-03,66470.28425160832
2021-06-04,94138.43684950238
2021-06-05,102010.88997835924
2021-06-06,102455.87139558162
2021-06-07,103200.92029452723
2021-06-08,100942.4063217221
2021-06-09,103442.87315759946
2021-06-10,99148.19008183524
2021-06-11,49442.6679543657
2021-06-12,100815.21314980437
2021-06-13,100444.11703734758
2021-06-14,102712.57881048457
2021-06-15,100163.14306633633
2021-06-16,95461.54346361535
2021-06-17,97170.32746070951
2021-06-18,65909.90313011235
2021-06-19,103777.75911582446
2021-06-20,102218.82153817156
2021-06-21,102947.2797468815
2021-06-22,50761.77687698476
2021-06-23,48808.66465907585
2021-06-24,65772.46090552957
2021-06-25,102994.81751789692
2021-06-26,94042.49269793404
2021-06-27,98351.45129060878
2021-06-28,46914.958621032376
2021-06-29,56506.971036059986
2021-06-30,46480.46175616124
